title,Main specs Display diagonal,Main specs Processor,Main specs Internal memory,Main specs Graphics,Main specs Storage,Price
DELL XPS 9560,Display diagonal: 15.6 inch,Processor: i5-7300HQ 2.5 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050,Storage: 1128 GB HDD+SSD,
DELL XPS 9570,Display diagonal: 15.6 inch,Processor: i7-8750H 2.20 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050 Ti,Storage: 512 GB SSD,
DELL XPS 9570,Display diagonal: 15.6 inch,Processor: i9-8950HK 2.90 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050 Ti,Storage: 1000 GB SSD,About 3068 USD 
DELL XPS 9570,Display diagonal: 15.6 inch,Processor: i7-8750H 2.20 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050 Ti,Storage: 512 GB SSD,About 2500 USD 
DELL XPS 9570,Display diagonal: 15.6 inch,Processor: i5-8300H 2.30 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050,Storage: 1128 GB HDD+SSD,About 1704 USD 
DELL XPS 9570,Display diagonal: 15.6 inch,Processor: i9-8950HK 2.90 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050 Ti,Storage: 2000 GB SSD,About 3689 USD 
DELL XPS 9570,Display diagonal: 15.6 inch,Processor: i7-8750H 2.20 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050 Ti,Storage: 1000 GB SSD,About 2783 USD 
DELL XPS 9570,Display diagonal: 15.6 inch,Processor: i5-8300H 2.30 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050,Storage: 1128 GB HDD+SSD,
DELL XPS 9575,Display diagonal: 15.6 inch,Processor: i7-8705G 3.1 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: AMD Radeon RX Vega M GL,Storage: 512 GB SSD,About 2284 USD 
Dynabook A50-C-201,Display diagonal: 15.6 inch,Processor: i7-6500U 2.5 GHz,Internal memory: 16 GB DDR3L-SDRAM,Graphics: NVIDIA GeForce 930M,Storage: 256 GB SSD,
Dynabook A50-C-20C,Display diagonal: 15.6 inch,Processor: i7-6500U 2.5 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: NVIDIA GeForce 930M,Storage: 256 GB SSD,
Dynabook A50-C-20C,Display diagonal: 15.6 inch,Processor: i7-6500U 2.5 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: NVIDIA GeForce 930M,Storage: 256 GB SSD,
Dynabook A50-D-11D,Display diagonal: 15.6 inch,Processor: i7-7500U 2.70 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 256 GB SSD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6300U 2.4 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 512 GB SSD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 128 GB SSD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6300U 2.4 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 256 GB SSD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 256 GB SSD,
Fujitsu LIFEBOOK T726,Display diagonal: 12.5 inch,Processor: i5-6300U 2.4 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 520,Storage: 128 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: E-2276M 2.8 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T1000,Storage: 1000 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: Intel UHD Graphics 630,Storage: 512 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T1000,Storage: 512 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: Intel UHD Graphics 630,Storage: 256 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 1000 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 512 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: E-2276M 2.8 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 1000 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 2000 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 1000 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 512 GB SSD,
Lenovo ThinkPad P1,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 256 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 256 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8565U 1.8 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 24 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8565U 1.8 GHz,Internal memory: 24 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 1000 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 24 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P43s,Display diagonal: 14 inch,Processor: i7-8665U 1.9 GHz,Internal memory: 24 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P520,Storage: 512 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i9-9880H 2.3 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro RTX 4000,Storage: 512 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 32 GB DDR4-SDRAM,Graphics: NVIDIA Quadro RTX 5000,Storage: 1000 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T1000,Storage: 512 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i9-9880H 2.3 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro RTX 4000,Storage: 512 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i7-9750H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T1000,Storage: 512 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro RTX 3000,Storage: 512 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 512 GB SSD,
Lenovo ThinkPad P53,Display diagonal: 15.6 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T1000,Storage: 1000 GB SSD,
Lenovo ThinkPad P73,Display diagonal: 17.3 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro T2000,Storage: 1512 GB HDD+SSD,
Lenovo ThinkPad P73,Display diagonal: 17.3 inch,Processor: i7-9850H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro RTX 3000,Storage: 1512 GB HDD+SSD,
Lenovo ThinkPad P73,Display diagonal: 17.3 inch,Processor: i7-9750H 2.6 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA Quadro P620,Storage: 1256 GB HDD+SSD,
Toshiba dynabook A50-C-201,Display diagonal: 15.6 inch,Processor: i7-6500U 2.5 GHz,Internal memory: 16 GB DDR3L-SDRAM,Graphics: NVIDIA GeForce 930M,Storage: 256 GB SSD,
Toshiba Port̩g̩ A30-C-1D0,Display diagonal: 13.3 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Toshiba Port̩g̩ A30-D-10C,Display diagonal: 13.3 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 256 GB SSD,
Toshiba Port̩g̩ A30-D-10C,Display diagonal: 13.3 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 256 GB SSD,
Toshiba Satellite Pro A40-C-1D8,Display diagonal: 14 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 256 GB SSD,
Toshiba Satellite Pro A40-C-1D9,Display diagonal: 14 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Toshiba Satellite Pro A50-C-204,Display diagonal: 15.6 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 4 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Toshiba Satellite Pro A50-C-24C,Display diagonal: 15.6 inch,Processor: i7-6500U 2.5 GHz,Internal memory: 16 GB DDR3L-SDRAM,Graphics: NVIDIA GeForce 930M,Storage: 256 GB SSD,About 1095 USD 
Toshiba Satellite Pro A50-C-256,Display diagonal: 15.6 inch,Processor: i3-6006U 2.00 GHz,Internal memory: 4 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 128 GB SSD,
Toshiba Satellite Pro A50-C-2FR,Display diagonal: 15.6 inch,Processor: i7-6500U 2.5 GHz,Internal memory: 16 GB DDR3L-SDRAM,Graphics: NVIDIA GeForce 930M,Storage: 256 GB SSD,
Toshiba Satellite Pro A50-D-10J,Display diagonal: 15.6 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 256 GB SSD,
Toshiba Satellite Pro A50-D-14M,Display diagonal: 15.6 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 128 GB SSD,
Toshiba Satellite Pro A50-D-14M,Display diagonal: 15.6 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 128 GB SSD,
Toshiba Satellite Pro R40-C-132,Display diagonal: 14 inch,Processor: i3-6006U 2.00 GHz,Internal memory: 4 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Toshiba Satellite Pro Satellite Pro A30-D-10E,Display diagonal: 13.3 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 256 GB SSD,
Toshiba Satellite Pro Satellite Pro A50-C-204,Display diagonal: 15.6 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 4 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 500 GB HDD,
Toshiba Tecra A40-C-1MR,Display diagonal: 15.6 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 256 GB SSD,
Toshiba Tecra A50-C-1ZT,Display diagonal: 15.6 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 256 GB SSD,
Toshiba Tecra A50-C-1ZU,Display diagonal: 15.6 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 256 GB SSD,
Toshiba Tecra A50-C-1ZV,Display diagonal: 15.6 inch,Processor: i5-6200U 2.3 GHz,Internal memory: 8 GB DDR3L-SDRAM,Graphics: Intel HD Graphics 520,Storage: 256 GB SSD,
Toshiba Tecra A50-D-10M,Display diagonal: 15.6 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 256 GB SSD,
Toshiba Tecra A50-D-11D,Display diagonal: 15.6 inch,Processor: i7-7500U 2.70 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 256 GB SSD,
Toshiba Tecra A50-D-11M,Display diagonal: 15.6 inch,Processor: i5-7200U 2.50 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: Intel HD Graphics 620,Storage: 500 GB HDD,
