title,Main specs Display diagonal,Main specs Processor,Main specs Internal memory,Main specs Graphics,Main specs Storage,Price
Alienware 15 R3,Display diagonal: 15.6 inch,Processor: i7-7700HQ 2.8 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1060,Storage: 1256 GB HDD+SSD,About 2293 USD 
Alienware 15 R3,Display diagonal: 15.6 inch,Processor: i5-7300HQ 2.5 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1060,Storage: 1000 GB HDD,About 1613 USD 
Alienware 17 R4,Display diagonal: 17.3 inch,Processor: i7-7700HQ 2.8 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1070,Storage: 1256 GB HDD+SSD,About 2001 USD 
DELL G3 3779,Display diagonal: 17.3 inch,Processor: i7-8750H 2.20 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1060,Storage: 2256 GB HDD+SSD,
DELL G5 5590,Display diagonal: 15.6 inch,Processor: i5-8300H 2.30 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050 Ti,Storage: 1128 GB HDD+SSD,
DELL G5 5590,Display diagonal: 15.6 inch,Processor: i7-8750H 2.20 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050 Ti,Storage: 1256 GB HDD+SSD,
DELL Inspiron 5770,Display diagonal: 17.3 inch,Processor: i5-8250U 1.60 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: AMD Radeon 530,Storage: 1128 GB HDD+SSD,About 940 USD 
DELL Inspiron 5770,Display diagonal: 17.3 inch,Processor: i5-8250U 1.60 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: AMD Radeon 530,Storage: 1128 GB HDD+SSD,
DELL Inspiron 5770,Display diagonal: 17.3 inch,Processor: i7-8550U 1.80 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: AMD Radeon 530,Storage: 1128 GB HDD+SSD,
DELL Inspiron 7570,Display diagonal: 15.6 inch,Processor: i5-8250U 1.60 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce 940MX,Storage: 1128 GB HDD+SSD,
DELL XPS 9560,Display diagonal: 15.6 inch,Processor: i5-7300HQ 2.5 GHz,Internal memory: 8 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050,Storage: 1128 GB HDD+SSD,About 1527 USD 
DELL XPS 9560,Display diagonal: 15.6 inch,Processor: i7-7700HQ 2.8 GHz,Internal memory: 16 GB DDR4-SDRAM,Graphics: NVIDIA GeForce GTX 1050,Storage: 512 GB SSD,About 1977 USD 
